Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,486.58,0.995054,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,486.57,0.867287,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,486.589,1.19213,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,486.463,0.402594,615276,10,0,3,1459.39,722574,0.289,0,11700,16770,7290,972,1050,7875,5850,780,3370303,32519880,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,486.502,0.397975,615276,10,0,4,689.24,532984,0.196,0,9750,16900,9720,810,875,10500,7800,650,3405999,31984440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,486.499,0.567528,615276,10,0,0,0,0,0.159,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,486.567,0.785982,615276,10,0,2,2061.32,618914,0.133,0,13650,16640,4860,1134,1225,5250,3900,910,4300288,18570105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,486.58,0.995054,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,486.57,0.867287,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,486.589,1.19213,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,486.463,0.402594,615276,10,0,3,1459.39,722574,0.289,0,11700,16770,7290,972,1050,7875,5850,780,3370303,32519880,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,486.502,0.397975,615276,10,0,4,689.24,532984,0.196,0,9750,16900,9720,810,875,10500,7800,650,3405999,31984440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,486.499,0.567528,615276,10,0,0,0,0,0.159,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,486.567,0.785982,615276,10,0,2,2061.32,618914,0.133,0,13650,16640,4860,1134,1225,5250,3900,910,4300288,18570105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,486.58,0.995054,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,486.57,0.867287,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,486.589,1.19213,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,486.463,0.402594,615276,10,0,3,1459.39,722574,0.289,0,11700,16770,7290,972,1050,7875,5850,780,3370303,32519880,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,486.502,0.397975,615276,10,0,4,689.24,532984,0.196,0,9750,16900,9720,810,875,10500,7800,650,3405999,31984440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,486.499,0.567528,615276,10,0,0,0,0,0.159,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,486.567,0.785982,615276,10,0,2,2061.32,618914,0.133,0,13650,16640,4860,1134,1225,5250,3900,910,4300288,18570105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,486.58,0.995054,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,486.57,0.867287,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,486.589,1.19213,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,486.463,0.402594,615276,10,0,3,1459.39,722574,0.289,0,11700,16770,7290,972,1050,7875,5850,780,3370303,32519880,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,486.502,0.397975,615276,10,0,4,689.24,532984,0.196,0,9750,16900,9720,810,875,10500,7800,650,3405999,31984440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,486.499,0.567528,615276,10,0,0,0,0,0.159,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,486.567,0.785982,615276,10,0,2,2061.32,618914,0.133,0,13650,16640,4860,1134,1225,5250,3900,910,4300288,18570105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,486.58,0.995054,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,486.57,0.867287,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,486.589,1.19213,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,486.463,0.402594,615276,10,0,3,1459.39,722574,0.289,0,11700,16770,7290,972,1050,7875,5850,780,3370303,32519880,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,486.502,0.397975,615276,10,0,4,689.24,532984,0.196,0,9750,16900,9720,810,875,10500,7800,650,3405999,31984440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,486.499,0.567528,615276,10,0,0,0,0,0.159,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,486.567,0.785982,615276,10,0,2,2061.32,618914,0.133,0,13650,16640,4860,1134,1225,5250,3900,910,4300288,18570105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,486.58,0.995054,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,486.57,0.867287,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,486.589,1.19213,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,486.463,0.402594,615276,10,0,3,1459.39,722574,0.289,0,11700,16770,7290,972,1050,7875,5850,780,3370303,32519880,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,486.502,0.397975,615276,10,0,4,689.24,532984,0.196,0,9750,16900,9720,810,875,10500,7800,650,3405999,31984440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,486.499,0.567528,615276,10,0,0,0,0,0.159,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,486.567,0.785982,615276,10,0,2,2061.32,618914,0.133,0,13650,16640,4860,1134,1225,5250,3900,910,4300288,18570105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,486.58,0.995054,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,486.57,0.867287,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,486.589,1.19213,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,486.463,0.402594,615276,10,0,3,1459.39,722574,0.289,0,11700,16770,7290,972,1050,7875,5850,780,3370303,32519880,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,486.502,0.397975,615276,10,0,4,689.24,532984,0.196,0,9750,16900,9720,810,875,10500,7800,650,3405999,31984440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,486.499,0.567528,615276,10,0,0,0,0,0.159,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,486.567,0.785982,615276,10,0,2,2061.32,618914,0.133,0,13650,16640,4860,1134,1225,5250,3900,910,4300288,18570105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,486.58,0.995054,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,486.57,0.867287,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,486.589,1.19213,615276,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,486.463,0.402594,615276,10,0,3,1459.39,722574,0.289,0,11700,16770,7290,972,1050,7875,5850,780,3370303,32519880,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,486.502,0.397975,615276,10,0,4,689.24,532984,0.196,0,9750,16900,9720,810,875,10500,7800,650,3405999,31984440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,486.499,0.567528,615276,10,0,0,0,0,0.159,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,486.567,0.785982,615276,10,0,2,2061.32,618914,0.133,0,13650,16640,4860,1134,1225,5250,3900,910,4300288,18570105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,486.497,0.533775,615276,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,486.575,0.98205,615276,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,486.547,0.789846,615276,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,486.545,0.77949,615276,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,486.587,1.11779,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,486.584,1.12473,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,486.578,0.972127,615276,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,486.55,0.798787,615276,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,486.572,1.00855,615276,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,5538295,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
